processor,sequence_length,adaln,conditioned transition,attention pair bias,triangle multiplication,triangle attention,pair weighted averaging,outer product mean,transition
rtx 5090,128,0.9919064044952393,1.185837984085083,1.7743644714355469,1.9757323265075684,0.25676751136779785,0.005992412567138672,0.004778146743774414,0.08887672424316406
rtx 5090,256,0.9229469299316406,1.093000888824463,1.7271695137023926,1.8429031372070312,0.25792860984802246,0.005921125411987305,0.006781101226806641,0.08769059181213379
rtx 5090,512,0.9112637042999027,1.092275619506836,2.2242825031280518,2.162132501602173,1.1237666606903076,0.08392095565795898,0.09132909774780273,0.6776316165924072
rtx 5090,1024,1.2047736644744873,1.4050884246826172,4.206599235534668,4.766188621520996,4.617304801940918,0.2626183032989502,0.5401020050048828,2.9645156860351562
tenstorrent,128,3.500638723373413,4.179244518280029,4.005341529846191,0.7597460746765137,1.6612052917480469,0.13347721099853516,0.2113204002380371,0.44974446296691895
tenstorrent,256,3.349766254425049,4.046857118606567,4.27033543586731,2.120854616165161,1.7110595703125,0.23266005516052246,0.9410398006439209,0.7105669975280762
tenstorrent,512,3.392892837524414,4.208235502243042,7.2233726978302,7.5154194831848145,6.897738218307495,0.4843416213989258,1.125556230545044,2.0887932777404785
tenstorrent,1024,3.785442590713501,5.038768291473389,14.525160789489746,27.85031270980835,43.093597173690796,1.0649504661560059,3.5655040740966797,8.409396886825562
