processor,sequence_length,input embedder,template module,msa module,pairformer module,diffusion module,confidence module,total
cpu,128,0.03857159614562988,0.4013235569000244,3.498372793197632,19.208789110183716,26.715760469436646,0.6043920516967773,51.02560544013977
cpu,256,0.12599393596605,2.378509759902954,12.68277645111084,102.53188562393188,55.74605178833008,3.4549124240875244,177.85677099227905
cpu,512,0.13158249855041504,17.303152322769165,86.76442503929138,905.1875965595245,190.986403465271,35.85319805145264,1238.3137290477753
cpu,1024,0.27741456031799316,175.26845932006836,642.2292301654816,7537.742296457291,681.7786412239075,240.7928285598755,9284.577916383743
rtx 4090,128,0.38357114791870117,1.6696293354034424,0.06070208549499512,0.7591116428375244,4.399764060974121,0.09107565879821777,9.984416961669922
rtx 4090,256,0.4271259307861328,1.7201361656188965,0.06508779525756836,0.9046151638031006,4.186156749725342,0.08554482460021973,10.402296781539917
rtx 4090,512,0.4439210891723633,2.0572609901428223,0.5292611122131348,4.627766132354736,5.560973882675171,0.22183847427368164,17.61682438850403
rtx 4090,1024,0.4623455343453,3.0167839527130127,2.193152666091919,20.566469192504883,21.85751247406006,0.7544219493865967,56.315057039260864
rtx 5090,128,0.44365345634563,1.6935920715332031,0.05927681922912598,0.7358286380767822,4.729190349578857,0.09908938407897949,10.35750436782837
rtx 5090,256,0.47266125679016113,1.7062640190124512,0.061330556869506836,0.7419543266296387,4.509197950363159,0.10166454315185547,10.468832015991211
rtx 5090,512,0.4625544548034668,1.9480867385864258,0.3349623680114746,3.1000754833221436,5.984241008758545,0.1679213047027588,15.71941876411438
rtx 5090,1024,0.4666905403137207,2.587237596511841,1.3627865314483643,13.439215421676636,13.377603769302368,0.5187053680419922,38.46015954017639
tenstorrent,128,0.05427908897399902,0.14310121536254883,0.643653392791748,2.1544864177703857,10.253496646881104,0.11090421676635742,14.222019910812378
tenstorrent,256,0.08246684074401855,0.2935366630554199,1.695662498474121,4.043173313140869,10.123674869537354,0.28096532821655273,17.765547275543213
tenstorrent,512,0.15217995643615723,1.0260248184204102,3.2286250591278076,15.505052089691162,10.923070907592773,1.0863492488861084,34.31119632720947
tenstorrent,1024,0.2878086566925049,4.156408309936523,11.013346433639526,75.46224427223206,20.489563941955566,4.617604970932007,122.39175128936768
